Risk,How Could It Hurt?,Desirability Viability Feasibility,Initial Likelihood,Initial Consequence,Initial Risk (LxC),Existing Controls,Additional Mitigation,Final L,Final C,Final Risk (LxC)
Curriculum scope unclear or underestimated,Scope creep; the Aug 2026 Next Chapter demo slips; solo-builder burnout,D,4,4,16,"Written design spec and phased plan with explicit non-goals; Phase 1 (workspace, Module 1, CLI, TUI, simulator slice) already built and passing 24 tests; milestones tracked in-repo","Freeze the demo scope to Phase 1; defer the web GUI, full DOOM simulator, and the M6-M7 open-source track to later phases; validate estimates against the built slice",2,3,6
Facility review blocks the software from running inside,The primary distribution channel (inside the wall) closes; the core audience is unreachable,V,3,5,15,"Offline by design: one static-musl binary, no network or sockets, no crypto, assets embedded at compile time; a vocab-lint CI gate rejects hacking/exploitation language; targets the walled-garden laptops facilities already deploy",Commission an early review by a DOC/facility contact; ship a plain-language security and review packet with a threat model; run a single-facility pilot before scaling,2,4,8
The DOOM finale reads as a game and trips facility review,A playable game is treated as entertainment or contraband and the whole course is rejected on that basis,V,3,5,15,"The finale is framed and presented as an engineering demonstration - running a real program on a display driven from the bare metal up, a technical capstone artifact, not entertainment",Offer a non-game bootable demo (a graphics or test pattern) as an alternate finale for strict facilities; make the finale configurable; document the engineering framing in the review packet,2,4,8
Weak or misjudged labor-market demand for the skills (market realism),Graduates cannot convert systems and Rust skills into work; the program's core promise fails,V,3,4,12,"Targets a verified underserved niche (no reentry program teaches systems; embedded and systems roles are short-staffed and pay more than saturated, shrinking web work); outcomes are portable public artifacts that signal skill across many roles, not only kernel jobs (83% of orgs weigh open-source contributions)","Position outcomes for a range of roles (embedded, systems, tooling, QA, support), not only kernel work; set honest expectations - differentiation, not a guaranteed kernel job; track graduate placement in a pilot",2,3,6
Simulator cannot convincingly carry a learner to the DOOM finale,The emotional payoff and the program's core differentiator weaken; costly late rework,F,3,4,12,First simulator slice already built and tested (modeled SPI bus + RGB565 panel + boot splash driven over the bus); an SpiBus trait provides the sim-or-real seam; doomgeneric is a proven-portable DOOM backend,Build a DOOM-on-simulated-panel vertical slice early to de-risk it; keep a simpler bootable graphical demo as a fallback finale,2,3,6
Insufficient testing or inaccurate curriculum content,Learners are taught something wrong; credibility and trust are lost; support burden rises,F,3,4,12,"Unit tests across the workspace (24 passing); a self-validating content loader (tests assert every check's canonical answer grades correct); CI runs fmt, clippy with warnings denied, tests, and vocab-lint",Mentor and subject-expert review of every lesson before release; grow coverage on the simulator and content paths; user-acceptance testing with a pilot learner,2,3,6
Learners get discouraged and drop out (retention),Low completion undercuts outcomes and the whole case for the program,D,4,3,12,"Self-paced and mastery-based with no failing grade; the course cannot get stuck (help always on screen, no dead ends); an early visible payoff and a tracked checks-passed indicator",A small peer cohort plus a mentor who has walked the path; sequence tiny early wins before hard material; measure completion in a pilot and iterate,2,3,6
Built but not adopted - no facility or organization deploys it,"The course clears review and is free, yet never reaches learners; the effort is wasted",D,3,4,12,"Next Chapter as first cohort and champion; free with zero server or infrastructure lowers the adoption cost; positioned to complement, not compete with, existing programs",Land one lighthouse facility pilot and publish its outcomes; partner with an organization that already has facility delivery rails; keep onboarding to a single copied binary,2,4,8
Privacy breach of a vulnerable population's data,"Exposed progress, answers, or typed input could harm a learner's standing inside or on release",D,2,5,10,"Offline and local-only: no accounts, no network, no telemetry, no tracking; minimal data (a local progress file); nothing leaves the machine",Per-user state isolation and an easy wipe on shared machines; store no more free text than a check needs; document data handling for facility review; least-privilege file access,1,4,4
Open-source first-patch step overwhelms beginners or yields low-quality patches,Discouragement at the most important moment; wasted maintainer time and reputational cost,D,3,3,9,"Scope kept small to start (docs and staging-tree fixes); plugs into established on-ramps (kernelnewbies, Linux Kernel Mentorship Program, Outreachy); meritocracy framing separates code critique from the person","Internal mentor review of every patch before it is sent upstream; a curated, scaffolded first-issue list; pair each learner with a buddy for their first submission",2,2,4
